Testing Epoch: 202, Rp: 0.8830908502179786, R2: 0.7172428308862497, MAE: 2.20860789402581, RMSE: 3.540370653549232
Testing Epoch: 203, Rp: 0.8833171960230957, R2: 0.7183758305872558, MAE: 2.204653862946416, RMSE: 3.533270453040791
Testing Epoch: 204, Rp: 0.8835594768185702, R2: 0.7195277137574984, MAE: 2.2006236131429846, RMSE: 3.526037258273734
Testing Epoch: 205, Rp: 0.8838182666512813, R2: 0.7207255185803855, MAE: 2.1963668224134216, RMSE: 3.518499929997442
Testing Epoch: 206, Rp: 0.8840547970530052, R2: 0.7218444126542369, MAE: 2.1924476997585307, RMSE: 3.511444541732194
Testing Epoch: 207, Rp: 0.8842818676502586, R2: 0.7229350754315471, MAE: 2.1885971836948617, RMSE: 3.5045535001300903
Testing Epoch: 208, Rp: 0.8844924639060194, R2: 0.7239850444794734, MAE: 2.1848355412788214, RMSE: 3.49790674492735
Testing Epoch: 209, Rp: 0.8847218458404904, R2: 0.7250672922237223, MAE: 2.1809338448000144, RMSE: 3.491042407119226
Testing Epoch: 210, Rp: 0.8849546073851817, R2: 0.7261105569961553, MAE: 2.1771398645946882, RMSE: 3.4844125244099784
Testing Epoch: 211, Rp: 0.8851754300829288, R2: 0.7271398111355756, MAE: 2.1733296823591113, RMSE: 3.477859293260752
